Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051266	PA14_21920	WP_003091589.1	putative permease of ABC transporter	59275	Pseudomonas aeruginosa LESB58	218890554	PLES_18141	WP_003091589.1	putative permease of ABC transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051265	PA14_21930	WP_003091588.1	putative permease of ABC transporter	59275	Pseudomonas aeruginosa LESB58	218890555	PLES_18151	WP_003091588.1	putative permease of ABC transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051264	PA14_21940	WP_003138363.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890556	PLES_18161	WP_003114798.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051263	PA14_21960	WP_003091586.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890557	PLES_18171	WP_003091586.1	putative ABC transporter, periplasmic substrate-binding protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051262	PA14_21970	WP_003091585.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890558	PLES_18181	WP_003122232.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051261	PA14_21980	WP_003138365.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890559	PLES_18191	WP_003114799.1	putative ribosomal-protein-serine acetyltransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051260	PA14_21990	WP_003091583.1	putative aminopeptidase 2	59275	Pseudomonas aeruginosa LESB58	218890560	PLES_18201	WP_003114800.1	putative aminopeptidase 2				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051259	PA14_22000	WP_003091582.1	pseudouridine synthase RluA	59275	Pseudomonas aeruginosa LESB58	218890561	PLES_18211	WP_003114801.1	pseudouridine synthase RluA				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051258	PA14_22010	WP_003091581.1	cell division topological specificity factor MinE	59275	Pseudomonas aeruginosa LESB58	218890562	PLES_18221	WP_003091581.1	cell division topological specificity factor MinE				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051257	PA14_22020	WP_003091579.1	cell division inhibitor MinD	59275	Pseudomonas aeruginosa LESB58	218890563	PLES_18231	WP_003091579.1	cell division inhibitor MinD				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051256	PA14_22040	WP_003109174.1	septum formation inhibitor	59275	Pseudomonas aeruginosa LESB58	218890564	PLES_18241	WP_003114802.1	septum formation inhibitor				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051255	PA14_22050	WP_003091577.1	lipid A biosynthesis lauroyl acyltransferase	59275	Pseudomonas aeruginosa LESB58	218890565	PLES_18251	WP_003158335.1	lipid A biosynthesis lauroyl acyltransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051254	PA14_22060	WP_003091575.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890566	PLES_18261	WP_003114804.1	putative patatin family protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116054399	PA14_22075	WP_031294574.1	putative pirin-related protein	59275	Pseudomonas aeruginosa LESB58	218890567	PLES_18271	WP_003114805.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051235	PA14_22290	WP_003138398.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890568	PLES_18281	WP_003114806.1	putative surface lipoprotein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051234	PA14_22310	WP_003109177.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890569	PLES_18291	WP_003114807.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051233	PA14_22320	WP_003091551.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890570	PLES_18301	WP_003091551.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051232	PA14_22330	WP_003114808.1	putative glycine betaine-binding protein precursor	59275	Pseudomonas aeruginosa LESB58	218890571	PLES_18311	WP_003452840.1	putative glycine betaine-binding protein precursor				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051231	PA14_22340	WP_003091547.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890572	PLES_18321	WP_003091547.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051230	PA14_22350	WP_003091546.1	acetate permease	59275	Pseudomonas aeruginosa LESB58	218890573	PLES_18331	WP_003091546.1	acetate permease				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051229	PA14_22370	WP_003109179.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890574	PLES_18341	WP_012613855.1	putative signal-transduction protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051228	PA14_22380	WP_003109180.1	DNA polymerase III subunit epsilon	59275	Pseudomonas aeruginosa LESB58	218890575	PLES_18351	WP_003114810.1	DNA polymerase III subunit epsilon				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051227	PA14_22400	WP_003091542.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890576	PLES_18361	WP_003109182.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051226	PA14_22410	WP_003109183.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890577	PLES_18371	WP_003114811.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051225	PA14_22420	WP_003091540.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890578	PLES_18381	WP_003091540.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051224	PA14_22440	WP_003138401.1	putative ATP-binding/permease fusion ABC transporter	59275	Pseudomonas aeruginosa LESB58	218890579	PLES_18391	WP_012613856.1	putative ATP-binding/permease fusion ABC transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051223	PA14_22450	WP_003109185.1	peptidyl-prolyl cis-trans isomerase A	59275	Pseudomonas aeruginosa LESB58	218890580	PLES_18401	WP_003114812.1	peptidyl-prolyl cis-trans isomerase A				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051222	PA14_22460	WP_003138411.1	alpha/beta family hydrolase	59275	Pseudomonas aeruginosa LESB58	218890581	PLES_18411	WP_003114813.1	putative hydrolase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051221	PA14_22470	WP_003091534.1	LysR family transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890582	PLES_18421	WP_003091534.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051220	PA14_22480	WP_003091533.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890583	PLES_18431	WP_003091533.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051219	PA14_22490	WP_003091530.1	acyl carrier protein phosphodiesterase	59275	Pseudomonas aeruginosa LESB58	218890584	PLES_18441	WP_003114814.1	acyl carrier protein phosphodiesterase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051212	PA14_22560	WP_003138422.1	putative permease	59275	Pseudomonas aeruginosa LESB58	218890585	PLES_18451	WP_004351030.1	putative permease				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051211	PA14_22570	WP_003109191.1	CsaA protein	59275	Pseudomonas aeruginosa LESB58	218890586	PLES_18461	WP_003109191.1	CsaA protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051210	PA14_22580	WP_003091511.1	AraC family transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890587	PLES_18471	WP_003114816.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051209	PA14_22590	WP_003091510.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890588	PLES_18481	WP_003091510.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051207	PA14_22620	WP_003138426.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890590	PLES_18501	WP_003124349.1	CyaB				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051206	PA14_22630	WP_003091504.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890591	PLES_18511	WP_003114819.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051205	PA14_22640	WP_003138428.1	AraC family transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890592	PLES_18521	WP_003114821.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051204	PA14_22650	WP_003109195.1	putative ABC-type uncharacterized transport system	59275	Pseudomonas aeruginosa LESB58	218890593	PLES_18531	WP_003109195.1	putative ABC-type uncharacterized transport system				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051203	PA14_22660	WP_003114822.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890594	PLES_18541	WP_003114822.1	ABC-type transporter, periplasmic component				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051202	PA14_22670	WP_031632632.1	putative ATP-binding component of ABC transporter	59275	Pseudomonas aeruginosa LESB58	218890595	PLES_18551	WP_003114823.1	putative ATP-binding component of ABC transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051201	PA14_22680	WP_003116404.1	putative permease of ABC transporter	59275	Pseudomonas aeruginosa LESB58	218890596	PLES_18561	WP_003116404.1	putative permease of ABC transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051200	PA14_22690	WP_003091497.1	potassium uptake protein TrkH	59275	Pseudomonas aeruginosa LESB58	218890597	PLES_18571	WP_003114825.1	potassium uptake protein TrkH				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051199	PA14_22700	WP_003114826.1	putative ferredoxin	59275	Pseudomonas aeruginosa LESB58	218890598	PLES_18581	WP_003114826.1	putative ferredoxin				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051198	PA14_22710	WP_003109199.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890599	PLES_18591	WP_003114828.1	putative nitroreductase family protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051197	PA14_22720	WP_003138434.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890600	PLES_18601	WP_003114829.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051196	PA14_22730	WP_003091493.1	putative two-component sensor	59275	Pseudomonas aeruginosa LESB58	218890601	PLES_18611	WP_003114830.1	putative two-component sensor				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051195	PA14_22740	WP_003091492.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890602	PLES_18621	WP_003114831.1	putative periplasmic inhibitor/zinc-resistance associated protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051194	PA14_22760	WP_003091491.1	putative two-component response regulator	59275	Pseudomonas aeruginosa LESB58	218890603	PLES_18631	WP_003091491.1	putative two-component response regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051193	PA14_22770	WP_003111064.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890604	PLES_18641	WP_003114832.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051192	PA14_22780	WP_003091489.1	YciI-like protein	59275	Pseudomonas aeruginosa LESB58	218890605	PLES_18651	WP_003091489.1	YciI-like protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051191	PA14_22800	WP_003091488.1	intracellular septation protein A	59275	Pseudomonas aeruginosa LESB58	218890606	PLES_18661	WP_003091488.1	intracellular septation protein A				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051190	PA14_22820	WP_003138435.1	PHP domain-containing protein	59275	Pseudomonas aeruginosa LESB58	218890607	PLES_18671	WP_003116406.1	putative PHP domain protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051189	PA14_22830	WP_003091486.1	SUA5/yciO/yrdC family:Sua5/YciO/YrdC/YwlC family protein	59275	Pseudomonas aeruginosa LESB58	218890608	PLES_18681	WP_003116407.1	putative SUA5/yciO/yrdC family:Sua5/YciO/YrdC/YwlC protein family				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051188	PA14_22840	WP_003452803.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890609	PLES_18691	WP_003114834.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051187	PA14_22860	WP_003138436.1	putative transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890610	PLES_18701	WP_003114835.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051186	PA14_22870	WP_003114836.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890611	PLES_18711	WP_003114836.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051185	PA14_22880	WP_003091481.1	putative Fe-S protein	59275	Pseudomonas aeruginosa LESB58	218890612	PLES_18721	WP_003091481.1	putative Fe-S protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051184	PA14_22890	WP_003091480.1	glyceraldehyde-3-phosphate dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890613	PLES_18731	WP_003091480.1	glyceraldehyde 3-phosphate dehydrogenase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051183	PA14_22910	WP_003091478.1	phosphogluconate dehydratase	59275	Pseudomonas aeruginosa LESB58	218890614	PLES_18741	WP_003091478.1	phosphogluconate dehydratase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051182	PA14_22930	WP_003091477.1	glucokinase	59275	Pseudomonas aeruginosa LESB58	218890615	PLES_18751	WP_003114838.1	glucokinase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051181	PA14_22940	WP_003091475.1	two-component response regulator GltR	59275	Pseudomonas aeruginosa LESB58	218890616	PLES_18761	WP_003091475.1	two-component response regulator GltR				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051180	PA14_22960	WP_003091474.1	putative two-component sensor	59275	Pseudomonas aeruginosa LESB58	218890617	PLES_18771	WP_010793236.1	putative two-component sensor				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051179	PA14_22980	WP_003091472.1	putative binding protein component of ABC sugar transporter	59275	Pseudomonas aeruginosa LESB58	218890618	PLES_18781	WP_003091472.1	putative binding protein component of ABC sugar transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051178	PA14_22990	WP_003091471.1	putative permease of ABC sugar transporter	59275	Pseudomonas aeruginosa LESB58	218890619	PLES_18791	WP_003091471.1	putative permease of ABC sugar transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051177	PA14_23000	WP_003138437.1	putative permease of ABC sugar transporter	59275	Pseudomonas aeruginosa LESB58	218890620	PLES_18801	WP_003091470.1	putative permease of ABC sugar transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051176	PA14_23010	WP_003114840.1	putative ATP-binding component of ABC transporter	59275	Pseudomonas aeruginosa LESB58	218890621	PLES_18811	WP_003114840.1	putative ATP-binding component of ABC transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051175	PA14_23030	WP_003116413.1	glucose/carbohydrate outer membrane porin OprB precursor	59275	Pseudomonas aeruginosa LESB58	218890622	PLES_18821	WP_003116413.1	Glucose/carbohydrate outer membrane porin OprB precursor				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051174	PA14_23050	WP_003112064.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890623	PLES_18831	WP_003113443.1	putative aldose 1-epimerase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051173	PA14_23060	WP_003091466.1	DNA-binding transcriptional regulator HexR	59275	Pseudomonas aeruginosa LESB58	218890624	PLES_18841	WP_012613858.1	DNA-binding transcriptional regulator HexR				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051172	PA14_23070	WP_003091465.1	glucose-6-phosphate 1-dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890625	PLES_18851	WP_003113442.1	glucose-6-phosphate 1-dehydrogenase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051171	PA14_23080	WP_011666596.1	6-phosphogluconolactonase	59275	Pseudomonas aeruginosa LESB58	218890626	PLES_18861	WP_012613859.1	6-phosphogluconolactonase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051170	PA14_23090	WP_003138452.1	keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase	59275	Pseudomonas aeruginosa LESB58	218890627	PLES_18871	WP_012613860.1	keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051169	PA14_23100	WP_003107683.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890628	PLES_18881	WP_003119712.1	putative 7,8-dihydro-8-oxoguanine-triphosphatase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051168	PA14_23110	WP_003113439.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890629	PLES_18891	WP_003113439.1	putative pseudouridine synthase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051167	PA14_23120	WP_003138455.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890630	PLES_18901	WP_012613861.1	hypothetical protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051166	PA14_23130	WP_003105929.1	sensory box GGDEF domain-containing protein	59275	Pseudomonas aeruginosa LESB58	218890631	PLES_18911	WP_003105929.1	putative sensory box/GGDEF domain protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051165	PA14_23160	WP_003138457.1	sodium/glutamate symporter	59275	Pseudomonas aeruginosa LESB58	218890632	PLES_18921	WP_003105930.1	sodium/glutamate symporter GltS				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051164	PA14_23170	WP_003138458.1	formimidoylglutamase	59275	Pseudomonas aeruginosa LESB58	218890633	PLES_18931	WP_003091455.1	formimidoylglutamase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051163	PA14_23190	WP_003138460.1	putative transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890634	PLES_18941	WP_003091454.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051162	PA14_23200	WP_003091453.1	short chain dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890635	PLES_18951	WP_003091453.1	short chain dehydrogenase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051161	PA14_23210	WP_003111503.1	phosphoglycolate phosphatase	59275	Pseudomonas aeruginosa LESB58	218890636	PLES_18961	WP_003111503.1	phosphoglycolate phosphatase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051160	PA14_23220	WP_003091451.1	3-demethylubiquinone-9 3-methyltransferase	59275	Pseudomonas aeruginosa LESB58	218890637	PLES_18971	WP_003122245.1	3-demethylubiquinone-9 3-methyltransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051159	PA14_23240	WP_003091450.1	N-ethylammeline chlorohydrolase	59275	Pseudomonas aeruginosa LESB58	218890638	PLES_18981	WP_003091450.1	N-ethylammeline chlorohydrolase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051158	PA14_23250	WP_003091449.1	methylthioribose-1-phosphate isomerase	59275	Pseudomonas aeruginosa LESB58	218890639	PLES_18991	WP_003091449.1	methylthioribose-1-phosphate isomerase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051157	PA14_23260	WP_003116419.1	DNA gyrase subunit A	59275	Pseudomonas aeruginosa LESB58	218890640	PLES_19001	WP_012613862.1	DNA gyrase subunit A				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051156	PA14_23270	WP_003111764.1	phosphoserine aminotransferase	59275	Pseudomonas aeruginosa LESB58	218890641	PLES_19011	WP_003111764.1	phosphoserine aminotransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051155	PA14_23280	WP_003091446.1	chorismate mutase	59275	Pseudomonas aeruginosa LESB58	218890642	PLES_19021	WP_012613863.1	chorismate mutase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051154	PA14_23290	WP_003115433.1	histidinol-phosphate aminotransferase	59275	Pseudomonas aeruginosa LESB58	218890643	PLES_19031	WP_003115433.1	histidinol-phosphate aminotransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051153	PA14_23310	WP_011666597.1	bifunctional cyclohexadienyl dehydrogenase/ 3-phosphoshikimate 1-carboxyvinyltransferase	59275	Pseudomonas aeruginosa LESB58	218890644	PLES_19041	WP_012613864.1	bifunctional cyclohexadienyl dehydrogenase/ 3-phosphoshikimate 1-carboxyvinyltransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051152	PA14_23320	WP_003106707.1	cytidylate kinase	59275	Pseudomonas aeruginosa LESB58	218890645	PLES_19051	WP_003091443.1	cytidylate kinase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051151	PA14_23330	WP_003091442.1	30S ribosomal protein S1	59275	Pseudomonas aeruginosa LESB58	218890646	PLES_19061	WP_003091442.1	30S ribosomal protein S1				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051150	PA14_23340	WP_003091441.1	integration host factor subunit beta	59275	Pseudomonas aeruginosa LESB58	218890647	PLES_19071	WP_003091441.1	integration host factor subunit beta				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051148	PA14_23360	WP_011666598.1	O-antigen chain length regulator	59275	Pseudomonas aeruginosa LESB58	218890648	PLES_19081	WP_014602695.1	O-antigen chain length regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051146	PA14_23380	WP_003138473.1	UDP-N-acetyl-D-mannosaminuronate dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890649	PLES_19091	YP_002439513	UDP-glucose/GDP-mannose dehydrogenase-like protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051139	PA14_23450	YP_790030.1	putative NAD dependent epimerase/dehydratase	59275	Pseudomonas aeruginosa LESB58	218890656	PLES_19161	WP_016253165.1	NAD dependent epimerase/dehydratase-like protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051138	PA14_23460	WP_003138482.1	putative group 4 glycosyl transferase	59275	Pseudomonas aeruginosa LESB58	218890657	PLES_19171	WP_003452706.1	putative group 4 glycosyl transferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051137	PA14_23470	WP_003138484.1	nucleotide sugar epimerase/dehydratase WbpM	59275	Pseudomonas aeruginosa LESB58	218890658	PLES_19181	WP_003122257.1	nucleotide sugar epimerase/dehydratase WbpM				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051136	PA14_23480	WP_003138486.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890659	PLES_19191	WP_003104586.1	putative competence protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051135	PA14_23500	WP_003110849.1	aromatic amino acid aminotransferase	59275	Pseudomonas aeruginosa LESB58	218890660	PLES_19201	WP_003104588.1	aromatic amino acid aminotransferase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051134	PA14_23510	WP_003138489.1	excinuclease ABC subunit B	59275	Pseudomonas aeruginosa LESB58	218890661	PLES_19211	WP_003104590.1	excinuclease ABC subunit B				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051133	PA14_23520	WP_003104591.1	putative MFS transporter	59275	Pseudomonas aeruginosa LESB58	218890662	PLES_19221	WP_024082479.1	putative major facilitator superfamily (MFS) transporter				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051132	PA14_23530	WP_003091421.1	putative secretion protein	59275	Pseudomonas aeruginosa LESB58	218890663	PLES_19231	WP_041025726.1	putative secretion protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051131	PA14_23540	WP_003091419.1	putative transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890664	PLES_19241	WP_003091419.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051130	PA14_23560	WP_003130541.1	glutamyl-tRNA synthetase	59275	Pseudomonas aeruginosa LESB58	218890665	PLES_19251	WP_012613872.1	glutamyl-tRNA synthetase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051129	PA14_23590	WP_003091415.1	putative transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890666	PLES_19261	WP_003091415.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051128	PA14_23610	WP_003107646.1	putative hydrolase	59275	Pseudomonas aeruginosa LESB58	218890667	PLES_19271	WP_003115024.1	putative hydrolase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051127	PA14_23620	WP_003091412.1	putative aldolase	59275	Pseudomonas aeruginosa LESB58	218890668	PLES_19281	WP_012613873.1	putative aldolase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051126	PA14_23630	WP_003111181.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890669	PLES_19291	WP_003107647.1	putative thioesterase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051125	PA14_23640	WP_003091408.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890670	PLES_19301	WP_012613874.1	putative tRNA-dihydrouridine synthase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051124	PA14_23650	WP_003138492.1	short chain dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218890671	PLES_19311	WP_012613875.1	short chain dehydrogenase				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051123	PA14_23670	WP_003091406.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218890672	PLES_19321	WP_003160691.1	putative bleomycin resistance protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051122	PA14_23680	WP_003091405.1	heat-shock protein IbpA	59275	Pseudomonas aeruginosa LESB58	218890673	PLES_19331	WP_003091405.1	heat-shock protein IbpA				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051121	PA14_23690	WP_003138494.1	putative secreted protein	59275	Pseudomonas aeruginosa LESB58	218890674	PLES_19341	WP_012613876.1	putative secreted protein				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051120	PA14_23700	WP_003138496.1	LysR family transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218890675	PLES_19351	WP_003115019.1	putative transcriptional regulator				
rbb	57977	Pseudomonas aeruginosa UCBPP-PA14	116051119	PA14_23720	WP_003091402.1	putative translation initiation inhibitor	59275	Pseudomonas aeruginosa LESB58	218890676	PLES_19361	WP_003091402.1	putative translation initiation inhibitor				
