Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15596777	PA1580	NP_250271.1	type II citrate synthase	59275	Pseudomonas aeruginosa LESB58	218892463	PLES_37471	WP_003087400.1	type II citrate synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596778	PA1581	NP_250272.1	succinate dehydrogenase subunit C	59275	Pseudomonas aeruginosa LESB58	218892462	PLES_37461	WP_024915988.1	succinate dehydrogenase (C subunit)				
rbb	57945	Pseudomonas aeruginosa PAO1	15596779	PA1582	NP_250273.1	succinate dehydrogenase subunit D	59275	Pseudomonas aeruginosa LESB58	218892461	PLES_37451	WP_003104386.1	succinate dehydrogenase (D subunit)				
rbb	57945	Pseudomonas aeruginosa PAO1	15596780	PA1583	NP_250274.1	succinate dehydrogenase flavoprotein subunit	59275	Pseudomonas aeruginosa LESB58	218892460	PLES_37441	WP_003087407.1	succinate dehydrogenase flavoprotein subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15596781	PA1584	NP_250275.1	succinate dehydrogenase iron-sulfur subunit	59275	Pseudomonas aeruginosa LESB58	218892459	PLES_37431	WP_003087410.1	succinate dehydrogenase iron-sulfur subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15596782	PA1585	NP_250276.1	2-oxoglutarate dehydrogenase E1 component	59275	Pseudomonas aeruginosa LESB58	218892458	PLES_37421	WP_003087413.1	2-oxoglutarate dehydrogenase E1 component				
rbb	57945	Pseudomonas aeruginosa PAO1	15596783	PA1586	NP_250277.1	dihydrolipoamide succinyltransferase	59275	Pseudomonas aeruginosa LESB58	218892457	PLES_37411	WP_003114264.1	dihydrolipoamide succinyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596784	PA1587	NP_250278.1	dihydrolipoamide dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218892456	PLES_37401	WP_003087422.1	dihydrolipoamide dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596785	PA1588	NP_250279.1	succinyl-CoA synthetase subunit beta	59275	Pseudomonas aeruginosa LESB58	218892455	PLES_37391	WP_003087425.1	succinyl-CoA synthetase subunit beta				
rbb	57945	Pseudomonas aeruginosa PAO1	15596786	PA1589	NP_250280.1	succinyl-CoA synthetase subunit alpha	59275	Pseudomonas aeruginosa LESB58	218892454	PLES_37381	WP_003087428.1	succinyl-CoA synthetase subunit alpha				
rbb	57945	Pseudomonas aeruginosa PAO1	15596787	PA1590	NP_250281.1	branched-chain amino acid transporter	59275	Pseudomonas aeruginosa LESB58	218892453	PLES_37371	WP_003114263.1	branched chain amino acid transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15596788	PA1591	NP_250282.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892452	PLES_37361	WP_003106486.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596790	PA1593	NP_250284.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892450	PLES_37341	WP_003106488.1	putative thioesterase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596791	PA1594	NP_250285.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892449	PLES_37331	WP_003087441.1	putative thioesterase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596792	PA1595	NP_250286.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892448	PLES_37321	WP_012614314.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596793	PA1596	NP_250287.1	heat shock protein 90	59275	Pseudomonas aeruginosa LESB58	218892447	PLES_37311	WP_003087446.1	heat shock protein 90				
rbb	57945	Pseudomonas aeruginosa PAO1	15596794	PA1597	NP_250288.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892446	PLES_37301	WP_003122896.1	putative dienelactone hydrolase family protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596795	PA1598	NP_250289.1	3-methyl-2-oxobutanoate hydroxymethyltransferase	59275	Pseudomonas aeruginosa LESB58	218892445	PLES_37291	WP_003087450.1	3-methyl-2-oxobutanoate hydroxymethyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596796	PA1599	NP_250290.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218892444	PLES_37281	WP_004349037.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596797	PA1600	NP_250291.1	cytochrome C	59275	Pseudomonas aeruginosa LESB58	218892443	PLES_37271	WP_003117755.1	putative cytochrome c				
rbb	57945	Pseudomonas aeruginosa PAO1	15596798	PA1601	NP_250292.1	aldehyde dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218892442	PLES_37261	WP_003117754.1	putative aldehyde dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596799	PA1602	NP_250293.1	oxidoreductase	59275	Pseudomonas aeruginosa LESB58	218892441	PLES_37251	WP_003097907.1	putative oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596800	PA1603	NP_250294.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218892440	PLES_37241	WP_003120438.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596801	PA1604	NP_250295.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892439	PLES_37231	WP_003097899.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596802	PA1605	NP_250296.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892438	PLES_37221	WP_003097898.1	putative 5-oxo-L-prolinase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596803	PA1606	NP_250297.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892437	PLES_37211	WP_003087466.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596804	PA1607	NP_250298.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892436	PLES_37201	WP_003087468.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596805	PA1608	NP_250299.1	chemotaxis transducer	59275	Pseudomonas aeruginosa LESB58	218892435	PLES_37191	WP_003097894.1	putative chemotaxis transducer				
rbb	57945	Pseudomonas aeruginosa PAO1	15596806	PA1609	NP_250300.1	3-oxoacyl-(acyl carrier protein) synthase I	59275	Pseudomonas aeruginosa LESB58	218892434	PLES_37181	WP_003087471.1	3-oxoacyl-(acyl carrier protein) synthase I				
rbb	57945	Pseudomonas aeruginosa PAO1	15596807	PA1610	NP_250301.1	3-hydroxydecanoyl-(acyl carrier protein) dehydratase	59275	Pseudomonas aeruginosa LESB58	218892433	PLES_37171	WP_003087475.1	3-hydroxydecanoyl-(acyl carrier protein) dehydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596808	PA1611	NP_250302.1	sensor/response regulator hybrid	59275	Pseudomonas aeruginosa LESB58	218892432	PLES_37161	WP_003097889.1	putative sensor/response regulator hybrid				
rbb	57945	Pseudomonas aeruginosa PAO1	15596809	PA1612	NP_250303.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892431	PLES_37151	WP_023108989.1	putative ABC transporter substrate-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596810	PA1613	NP_250304.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892430	PLES_37141	WP_033862950.1	putative outer membrane receptor protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596811	PA1614	NP_250305.1	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218892429	PLES_37131	WP_003087482.1	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596812	PA1615	NP_250306.1	lipase	59275	Pseudomonas aeruginosa LESB58	218892428	PLES_37121	WP_003097882.1	putative lipase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596813	PA1616	NP_250307.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892427	PLES_37111	WP_003117751.1	putative phosphohistidine phosphatase SixA				
rbb	57945	Pseudomonas aeruginosa PAO1	15596814	PA1617	NP_250308.1	AMP-binding enzyme	59275	Pseudomonas aeruginosa LESB58	218892426	PLES_37101	WP_003122891.1	putative AMP-binding enzyme				
rbb	57945	Pseudomonas aeruginosa PAO1	15596815	PA1618	NP_250309.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892425	PLES_37091	WP_003087490.1	putative thioesterase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596816	PA1619	NP_250310.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218892424	PLES_37081	WP_003097872.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596817	PA1620	NP_250311.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892423	PLES_37071	WP_012614311.1	putative threonine efflux protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596818	PA1621	NP_250312.1	hydrolase	59275	Pseudomonas aeruginosa LESB58	218892422	PLES_37061	WP_003097869.1	putative hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596819	PA1622	NP_250313.1	hydrolase	59275	Pseudomonas aeruginosa LESB58	218892421	PLES_37051	WP_012614310.1	putative hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596820	PA1623	NP_250314.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892420	PLES_37041	WP_003087500.1	putative glutathione S-transferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596821	PA1624	NP_250315.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892419	PLES_37031	WP_003097863.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596822	PA1625	NP_250316.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892418	PLES_37021	WP_003097861.1	putative permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15596823	PA1626	NP_250317.1	major facilitator superfamily (MFS) transporter	59275	Pseudomonas aeruginosa LESB58	218892417	PLES_37011	WP_003122889.1	putative major facilitator superfamily (MFS) transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15596824	PA1627	NP_250318.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218892416	PLES_37001	WP_003122888.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596826	PA1629	NP_250320.1	enoyl-CoA hydratase	59275	Pseudomonas aeruginosa LESB58	218892415	PLES_36971	WP_003144826.1	enoyl-CoA hydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596827	PA1630	NP_250321.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218892414	PLES_36961	WP_003097851.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596828	PA1631	NP_250322.1	acyl-CoA dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218892413	PLES_36951	WP_003144825.1	putative acyl-CoA dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596830	PA1633	NP_250324.1	potassium-transporting ATPase A	59275	Pseudomonas aeruginosa LESB58	218892412	PLES_36941	WP_003087524.1	potassium-transporting ATPase subunit A				
rbb	57945	Pseudomonas aeruginosa PAO1	15596831	PA1634	NP_250325.1	potassium-transporting ATPase B	59275	Pseudomonas aeruginosa LESB58	218892411	PLES_36931	WP_003087527.1	potassium-transporting ATPase subunit B				
rbb	57945	Pseudomonas aeruginosa PAO1	15596832	PA1635	NP_250326.1	potassium-transporting ATPase C	59275	Pseudomonas aeruginosa LESB58	218892410	PLES_36921	WP_003120424.1	potassium-transporting ATPase subunit C				
rbb	57945	Pseudomonas aeruginosa PAO1	15596833	PA1636	NP_250327.1	two-component sensor KdpD	59275	Pseudomonas aeruginosa LESB58	218892409	PLES_36911	WP_003114597.1	two-component sensor KdpD				
rbb	57945	Pseudomonas aeruginosa PAO1	15596834	PA1637	NP_250328.1	two-component response regulator KdpE	59275	Pseudomonas aeruginosa LESB58	218892408	PLES_36901	WP_003114598.1	two-component response regulator KdpE				
rbb	57945	Pseudomonas aeruginosa PAO1	15596835	PA1638	NP_250329.1	glutaminase	59275	Pseudomonas aeruginosa LESB58	218892407	PLES_36891	WP_003087537.1	glutaminase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596836	PA1639	NP_250330.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892406	PLES_36881	WP_012614309.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596837	PA1640	NP_250331.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892405	PLES_36871	WP_003087542.1	putative esterase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596838	PA1641	NP_250332.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892404	PLES_36861	WP_003097836.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596839	PA1642	NP_250333.1	selenophosphate synthetase	59275	Pseudomonas aeruginosa LESB58	218892403	PLES_36851	WP_003087546.1	selenophosphate synthetase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596840	PA1643	NP_250334.1	tRNA 2-selenouridine synthase	59275	Pseudomonas aeruginosa LESB58	218892402	PLES_36841	WP_003449961.1	tRNA 2-selenouridine synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596841	PA1644	NP_250335.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892401	PLES_36831	WP_003097831.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596842	PA1645	NP_250336.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892400	PLES_36821	WP_003087555.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596843	PA1646	NP_250337.1	chemotaxis transducer	59275	Pseudomonas aeruginosa LESB58	218892399	PLES_36811	WP_003144814.1	putative chemotaxis transducer				
rbb	57945	Pseudomonas aeruginosa PAO1	15596844	PA1647	NP_250338.1	sulfate transporter	59275	Pseudomonas aeruginosa LESB58	218892398	PLES_36801	WP_003087559.1	putative sulfate transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15596845	PA1648	NP_250339.1	oxidoreductase	59275	Pseudomonas aeruginosa LESB58	218892397	PLES_36791	WP_003097826.1	putative oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596846	PA1649	NP_250340.1	short-chain dehydrogenase	59275	Pseudomonas aeruginosa LESB58	218892396	PLES_36781	WP_012614308.1	short chain dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596847	PA1650	NP_250341.1	transporter	59275	Pseudomonas aeruginosa LESB58	218892395	PLES_36771	WP_012614307.1	putative transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15596848	PA1651	NP_250342.1	transporter	59275	Pseudomonas aeruginosa LESB58	218892394	PLES_36761	WP_012614306.1	putative transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15596849	PA1652	NP_250343.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892393	PLES_36751	WP_003097821.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596850	PA1653	NP_250344.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218892392	PLES_36741	WP_003097819.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596851	PA1654	NP_250345.1	aminotransferase	59275	Pseudomonas aeruginosa LESB58	218892391	PLES_36731	WP_003097818.1	putative aminotransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596852	PA1655	NP_250346.1	glutathione S-transferase	59275	Pseudomonas aeruginosa LESB58	218892390	PLES_36721	WP_003097816.1	putative glutathione S-transferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596853	PA1656	NP_250347.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892389	PLES_36711	WP_003097814.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596854	PA1657	NP_250348.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892388	PLES_36701	WP_003097811.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596855	PA1658	NP_250349.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892387	PLES_36691	WP_003087596.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596856	PA1659	NP_250350.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892386	PLES_36681	WP_003120359.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596857	PA1660	NP_250351.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892385	PLES_36671	WP_010794013.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596858	PA1661	NP_250352.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892384	PLES_36661	WP_003097804.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596859	PA1662	NP_250353.1	ClpA/B-type protease	59275	Pseudomonas aeruginosa LESB58	218892383	PLES_36651	WP_010794014.1	putative ClpA/B-type protease				
rbb	57945	Pseudomonas aeruginosa PAO1	15596860	PA1663	NP_250354.1	transcriptional regulator	59275	Pseudomonas aeruginosa LESB58	218892382	PLES_36641	WP_012614303.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596861	PA1664	NP_250355.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892381	PLES_36631	WP_003087614.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596862	PA1665	NP_250356.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892380	PLES_36621	WP_003160019.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596863	PA1666	NP_250357.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892379	PLES_36611	WP_003114612.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596864	PA1667	NP_250358.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892378	PLES_36601	WP_003097790.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596865	PA1668	NP_250359.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892377	PLES_36591	WP_003087622.1	putative outer membrane protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596866	PA1669	NP_250360.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892376	PLES_36581	WP_012614302.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596867	PA1670	NP_250361.1	serine/threonine phosphoprotein phosphatase Stp1	59275	Pseudomonas aeruginosa LESB58	218892375	PLES_36571	WP_003087627.1	serine/threonine phosphoprotein phosphatase Stp1				
rbb	57945	Pseudomonas aeruginosa PAO1	15596868	PA1671	NP_250362.1	serine-threonine kinase Stk1	59275	Pseudomonas aeruginosa LESB58	218892374	PLES_36561	WP_012614301.1	serine-threonine kinase Stk1				
rbb	57945	Pseudomonas aeruginosa PAO1	15596869	PA1672	NP_250363.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892373	PLES_36551	WP_003114616.1	putative enzyme				
rbb	57945	Pseudomonas aeruginosa PAO1	15596870	PA1673	NP_250364.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892372	PLES_36541	WP_003087637.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596871	PA1674	NP_250365.1	GTP cyclohydrolase I	59275	Pseudomonas aeruginosa LESB58	218892371	PLES_36531	WP_003087639.1	GTP cyclohydrolase I				
rbb	57945	Pseudomonas aeruginosa PAO1	15596872	PA1675	NP_250366.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892370	PLES_36521	WP_003087642.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596873	PA1676	NP_250367.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892369	PLES_36511	WP_003087644.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596874	PA1677	NP_250368.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892368	PLES_36501	WP_003103179.1	putative hydrolase, isochorismatase family				
rbb	57945	Pseudomonas aeruginosa PAO1	15596875	PA1678	NP_250369.1	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	59275	Pseudomonas aeruginosa LESB58	218892367	PLES_36491	WP_003087648.1	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596876	PA1679	NP_250370.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892366	PLES_36481	WP_003087649.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596877	PA1680	NP_250371.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892365	PLES_36471	WP_003124842.1	putative hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596878	PA1681	NP_250372.1	chorismate synthase	59275	Pseudomonas aeruginosa LESB58	218892364	PLES_36461	WP_003087653.1	chorismate synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596879	PA1682	NP_250373.1	MFS metabolite transporter	59275	Pseudomonas aeruginosa LESB58	218892363	PLES_36451	WP_003087654.1	putative MFS metabolite transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15596880	PA1683	NP_250374.1	methylthioribulose-1-phosphate dehydratase	59275	Pseudomonas aeruginosa LESB58	218892362	PLES_36441	WP_012614300.1	methylthioribulose-1-phosphate dehydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596881	PA1684	NP_250375.1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	59275	Pseudomonas aeruginosa LESB58	218892361	PLES_36431	WP_003087656.1	putative oxidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596882	PA1685	NP_250376.1	enolase-phosphatase E-1	59275	Pseudomonas aeruginosa LESB58	218892360	PLES_36421	WP_012614299.1	enolase-phosphatase E-1				
rbb	57945	Pseudomonas aeruginosa PAO1	15596883	PA1686	NP_250377.1	DNA-3-methyladenine glycosidase II	59275	Pseudomonas aeruginosa LESB58	218892358	PLES_36401	WP_003449989.1	DNA-3-methyladenine glycosidase II				
rbb	57945	Pseudomonas aeruginosa PAO1	15596884	PA1687	NP_250378.1	spermidine synthase	59275	Pseudomonas aeruginosa LESB58	218892357	PLES_36391	WP_003103196.1	spermidine synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596885	PA1688	NP_250379.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892356	PLES_36381	WP_003117730.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596886	PA1689	NP_250380.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892355	PLES_36371	WP_003103200.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596887	PA1690	NP_250381.1	translocation protein in type III secretion	59275	Pseudomonas aeruginosa LESB58	218892354	PLES_36361	WP_003103203.1	translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596888	PA1691	NP_250382.1	translocation protein in type III secretion	59275	Pseudomonas aeruginosa LESB58	218892353	PLES_36351	WP_003103206.1	translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596889	PA1692	NP_250383.1	translocation protein in type III secretion	59275	Pseudomonas aeruginosa LESB58	218892352	PLES_36341	WP_003087672.1	putative translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596890	PA1693	NP_250384.1	type III secretion system protein	59275	Pseudomonas aeruginosa LESB58	218892351	PLES_36331	WP_012614298.1	type III secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596891	PA1694	NP_250385.1	type III secretion system protein	59275	Pseudomonas aeruginosa LESB58	218892350	PLES_36321	WP_012614297.1	type III secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596893	PA1696	NP_250387.1	translocation protein in type III secretion	59275	Pseudomonas aeruginosa LESB58	218892349	PLES_36311	WP_003109497.1	translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596894	PA1697	NP_250388.1	type III secretion system ATPase	59275	Pseudomonas aeruginosa LESB58	218892348	PLES_36301	WP_012614296.1	type III secretion system ATPase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596895	PA1698	NP_250389.1	type III secretion outer membrane protein PopN precursor	59275	Pseudomonas aeruginosa LESB58	218892347	PLES_36291	WP_003087692.1	Type III secretion outer membrane protein PopN precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15596896	PA1699	NP_250390.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892346	PLES_36281	WP_003087693.1	putative protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596897	PA1700	NP_250391.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892345	PLES_36271	WP_003087694.1	putative type III secretion protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596898	PA1701	NP_250392.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892344	PLES_36261	WP_003100794.1	hypothetical protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596899	PA1702	NP_250393.1	hypothetical protein	59275	Pseudomonas aeruginosa LESB58	218892343	PLES_36251	WP_003087695.1	hypothetical protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596900	PA1703	NP_250394.1	type III secretory apparatus protein PcrD	59275	Pseudomonas aeruginosa LESB58	218892342	PLES_36241	WP_003087696.1	type III secretory apparatus protein PcrD				
rbb	57945	Pseudomonas aeruginosa PAO1	15596901	PA1704	NP_250395.1	transcriptional regulator protein PcrR	59275	Pseudomonas aeruginosa LESB58	218892341	PLES_36231	WP_003100791.1	transcriptional regulator protein PcrR				
rbb	57945	Pseudomonas aeruginosa PAO1	15596902	PA1705	NP_250396.1	regulator in type III secretion	59275	Pseudomonas aeruginosa LESB58	218892340	PLES_36221	WP_025981531.1	regulator in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596903	PA1706	NP_250397.1	type III secretion protein PcrV	59275	Pseudomonas aeruginosa LESB58	218892339	PLES_36211	WP_003100789.1	type III secretion protein PcrV				
rbb	57945	Pseudomonas aeruginosa PAO1	15596905	PA1708	NP_250399.1	translocator protein PopB	59275	Pseudomonas aeruginosa LESB58	218892338	PLES_36201	WP_004342870.1	translocator protein PopB				
rbb	57945	Pseudomonas aeruginosa PAO1	15596906	PA1709	NP_250400.1	translocator outer membrane protein PopD precursor	59275	Pseudomonas aeruginosa LESB58	218892337	PLES_36191	WP_003113550.1	Translocator outer membrane protein PopD precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15596907	PA1710	NP_250401.1	ExsC, exoenzyme S synthesis protein C precursor	59275	Pseudomonas aeruginosa LESB58	218892336	PLES_36181	WP_003100769.1	exoenzyme S synthesis protein C				
rbb	57945	Pseudomonas aeruginosa PAO1	15596909	PA1712	NP_250403.1	exoenzyme S synthesis protein B	59275	Pseudomonas aeruginosa LESB58	218892335	PLES_36171	WP_003100765.1	exoenzyme S synthesis protein B				
